order_book_id,date,low,prev_close,limit_up,open,num_trades,high,limit_down,volume,close,total_turnover
601318.XSHG,2016-07-26,26.5581,32.3,29.2592,26.5992,13696.0,26.8792,23.9393,40607690.0,26.7804,1315811002.0
601318.XSHG,2016-07-27,26.2122,32.52,29.4568,26.8051,29606.0,27.011,24.104,80288281.0,27.0028,2601958941.0
601318.XSHG,2016-07-28,26.6898,32.79,29.7039,26.7886,15861.0,26.9122,24.3017,28491225.0,26.7228,927273007.0
601318.XSHG,2016-07-29,26.6075,32.45,29.3992,26.7557,11623.0,26.8463,24.0546,22929963.0,26.6569,744105405.0
601318.XSHG,2016-08-01,26.5169,32.37,29.325,26.5992,12816.0,26.6816,23.9887,22213897.0,26.5828,717235907.0
601318.XSHG,2016-08-02,26.5169,32.28,29.2427,26.5992,9525.0,26.6651,23.9228,17685932.0,26.5828,570712739.0
601318.XSHG,2016-08-03,26.4345,32.28,29.2427,26.4592,10340.0,26.5828,23.9228,18652513.0,26.5004,600429970.0
601318.XSHG,2016-08-04,26.3604,32.18,29.1521,26.5004,13599.0,26.5169,23.8487,20772929.0,26.4757,666430065.0
601318.XSHG,2016-08-05,26.4428,32.15,29.1274,26.484,11591.0,26.5581,23.8323,27213137.0,26.5004,875728864.0
601318.XSHG,2016-08-08,26.4345,32.18,29.1521,26.5416,15002.0,26.5992,23.8487,30356935.0,26.5745,978456142.0
601318.XSHG,2016-08-09,26.6239,32.27,29.2345,26.6239,24890.0,26.8957,23.9146,41065840.0,26.7969,1334273438.0
601318.XSHG,2016-08-10,26.7804,32.54,29.4733,26.8051,20953.0,26.9945,24.1205,34781458.0,26.7969,1134553583.0
601318.XSHG,2016-08-11,26.7639,32.54,29.4733,26.7639,36260.0,27.5051,24.1205,77933585.0,27.0028,2572039045.0
601318.XSHG,2016-08-12,26.9781,32.79,29.7039,27.0192,36699.0,27.5874,24.3017,69438198.0,27.571,2300089390.0
601318.XSHG,2016-08-15,27.571,33.48,30.3297,27.6286,63667.0,29.0121,24.8122,122157230.0,28.4604,4208217327.0
601318.XSHG,2016-08-16,27.9086,34.56,31.3097,28.658,47615.0,28.7568,25.611,91604428.0,27.9333,3137874791.0
601318.XSHG,2016-08-17,27.7357,33.92,30.725,28.0404,22467.0,28.1063,25.1416,42967525.0,27.9745,1457681731.0
601318.XSHG,2016-08-18,28.1063,33.97,30.7744,28.2463,43214.0,28.7404,25.1746,85035533.0,28.3533,2938789957.0
601318.XSHG,2016-08-19,28.1392,34.43,31.1862,28.3945,25338.0,28.5427,25.5204,35481775.0,28.4274,1221887628.0
601318.XSHG,2016-08-22,28.1886,34.52,31.2685,28.5015,17742.0,28.5592,25.5863,31956946.0,28.378,1100976011.0
601318.XSHG,2016-08-23,28.3451,34.46,31.2191,28.3451,25357.0,28.9709,25.5369,55894872.0,28.6909,1946633401.0
601318.XSHG,2016-08-24,28.2545,34.84,31.5567,28.7321,22461.0,28.7568,25.8251,37369379.0,28.271,1289666914.0
601318.XSHG,2016-08-25,27.8345,34.33,31.0956,28.0074,22772.0,28.131,25.4463,38835272.0,28.0733,1319356026.0
601318.XSHG,2016-08-26,28.0321,34.09,30.8815,28.131,12899.0,28.3368,25.2652,21051990.0,28.0733,720707377.0
601318.XSHG,2016-08-29,27.7686,34.09,30.8815,28.0074,15841.0,28.2545,25.2652,23735599.0,28.2133,807731243.0
601318.XSHG,2016-08-30,28.0486,34.26,31.0379,28.2298,17555.0,28.378,25.3887,30022326.0,28.1721,1028897886.0
601318.XSHG,2016-08-31,28.0239,34.21,30.9885,28.1557,11311.0,28.3121,25.3557,19265567.0,28.1804,659454538.0
601318.XSHG,2016-09-01,28.131,34.22,30.9968,28.1721,15622.0,28.4439,25.364,24342696.0,28.3039,836324257.0
601318.XSHG,2016-09-02,28.1886,34.37,31.1368,28.2792,24405.0,28.7321,25.471,51030170.0,28.7074,1766218364.0
601318.XSHG,2016-09-05,28.5749,34.66,31.5815,28.7323,20150.0,28.9477,25.8334,40332699.0,28.7903,1401611045.0
601318.XSHG,2016-09-06,28.6909,34.76,31.6726,28.7572,30975.0,29.3452,25.908,56432581.0,29.105,1979904973.0
601318.XSHG,2016-09-07,29.1382,35.14,32.0122,29.1464,27773.0,29.544,26.1978,47062029.0,29.163,1667528062.0
601318.XSHG,2016-09-08,29.0968,35.21,32.0785,29.1547,16841.0,29.4695,26.2475,33539618.0,29.3038,1185177579.0
601318.XSHG,2016-09-09,29.221,35.38,32.2359,29.3452,21988.0,29.6848,26.3718,44040730.0,29.3701,1566197985.0
601318.XSHG,2016-09-12,28.3265,35.46,32.3104,28.9145,36116.0,29.1133,26.4298,86602441.0,29.0885,3013336339.0
601318.XSHG,2016-09-13,28.4921,35.12,31.9957,28.9725,18850.0,28.9725,26.1813,31744459.0,28.7572,1101218251.0
